count,data
1, 0  ms,  0  mm,  0  dBm 
2, 0  ms,  0  mm,  0  dBm 
3, 543402  ms,  5403  mm,  -86  dBm 
4, 543694  ms,  5183  mm,  -85  dBm 
5, 0  ms,  0  mm,  0  dBm 
6, 0  ms,  0  mm,  0  dBm 
7, 543958  ms,  5042  mm,  -85  dBm 
8, 544160  ms,  4907  mm,  -85  dBm 
9, 544361  ms,  4757  mm,  -84  dBm 
10, 544564  ms,  4667  mm,  -84  dBm 
11, 544765  ms,  4574  mm,  -88  dBm 
12, 544982  ms,  4387  mm,  -86  dBm 
13, 545184  ms,  4228  mm,  -84  dBm 
14, 545386  ms,  4087  mm,  -83  dBm 
15, 545588  ms,  4050  mm,  -86  dBm 
16, 545791  ms,  3975  mm,  -85  dBm 
17, 545993  ms,  3872  mm,  -85  dBm 
18, 546196  ms,  3872  mm,  -84  dBm 
19, 546398  ms,  3773  mm,  -84  dBm 
20, 546601  ms,  3759  mm,  -84  dBm 
21, 546803  ms,  3703  mm,  -84  dBm 
22, 547004  ms,  3722  mm,  -84  dBm 
23, 547206  ms,  3708  mm,  -84  dBm 
24, 547439  ms,  3694  mm,  -84  dBm 
25, 547672  ms,  3684  mm,  -83  dBm 
26, 547874  ms,  3736  mm,  -83  dBm 
27, 548076  ms,  3670  mm,  -84  dBm 
28, 548278  ms,  3680  mm,  -83  dBm 
29, 548479  ms,  3661  mm,  -84  dBm 
30, 548679  ms,  3689  mm,  -81  dBm 
31, 548973  ms,  3802  mm,  -82  dBm 
32, 549207  ms,  3923  mm,  -81  dBm 
33, 549410  ms,  3989  mm,  -82  dBm 
34, 549611  ms,  4340  mm,  -80  dBm 
35, 549875  ms,  4742  mm,  -81  dBm 
36, 550108  ms,  5239  mm,  -81  dBm 
37, 550341  ms,  5937  mm,  -81  dBm 
38, 550558  ms,  6537  mm,  -82  dBm 
39, 550821  ms,  7437  mm,  -83  dBm 
40, 551024  ms,  8126  mm,  -82  dBm 
41, 551226  ms,  8933  mm,  -83  dBm 
42, 551429  ms,  9824  mm,  -84  dBm 
43, 551630  ms,  10691  mm,  -85  dBm 
44, 0  ms,  0  mm,  0  dBm 
45, 551864  ms,  11657  mm,  -86  dBm 
46, 552361  ms,  13945  mm,  -87  dBm 
47, 552813  ms,  16169  mm,  -89  dBm 
48, 553266  ms,  18382  mm,  -93  dBm 
49, 553713  ms,  20553  mm,  -93  dBm 
50, 554166  ms,  22818  mm,  -92  dBm 
51, 554555  ms,  24601  mm,  -94  dBm 
52, 555007  ms,  26758  mm,  -96  dBm 
53, 555456  ms,  29070  mm,  -96  dBm 
54, 555907  ms,  31378  mm,  -93  dBm 
55, 556358  ms,  33583  mm,  -94  dBm 
56, 556810  ms,  35698  mm,  -99  dBm 
57, 557262  ms,  37959  mm,  -98  dBm 
58, 557714  ms,  40205  mm,  -97  dBm 
59, 558166  ms,  42335  mm,  -97  dBm 
60, 0  ms,  0  mm,  0  dBm 
61, 558645  ms,  44624  mm,  -101  dBm 
62, 558645  ms,  44624  mm,  -101  dBm 
63, 558645  ms,  44624  mm,  -101  dBm 
64, 558645  ms,  44624  mm,  -101  dBm 
65, 0  ms,  0  mm,  0  dBm 
66, 560467  ms,  52602  mm,  -99  dBm 
67, 0  ms,  0  mm,  0  dBm 
68, 561046  ms,  55116  mm,  -98  dBm 
69, 561497  ms,  57180  mm,  -99  dBm 
70, 561948  ms,  59159  mm,  -101  dBm 
71, 562399  ms,  61106  mm,  -101  dBm 
72, 562399  ms,  61106  mm,  -101  dBm 
73, 563305  ms,  65116  mm,  -101  dBm 
74, 563752  ms,  66748  mm,  -98  dBm 
75, 564141  ms,  68240  mm,  -98  dBm 
76, 564593  ms,  69886  mm,  -100  dBm 
77, 565045  ms,  71420  mm,  -99  dBm 
78, 565498  ms,  72714  mm,  -99  dBm 
79, 565498  ms,  72714  mm,  -99  dBm 
80, 566403  ms,  75289  mm,  -99  dBm 
81, 566856  ms,  76420  mm,  -99  dBm 
82, 0  ms,  0  mm,  0  dBm 
83, 566856  ms,  76420  mm,  -99  dBm 
84, 567697  ms,  78479  mm,  -102  dBm 
85, 568071  ms,  78905  mm,  -101  dBm 
86, 0  ms,  0  mm,  0  dBm 
87, 568552  ms,  79665  mm,  -100  dBm 
88, 569045  ms,  80008  mm,  -100  dBm 
89, 569466  ms,  79994  mm,  -98  dBm 
90, 569949  ms,  79886  mm,  -99  dBm 
91, 570371  ms,  79886  mm,  -102  dBm 
92, 570729  ms,  79937  mm,  -99  dBm 
93, 571120  ms,  79886  mm,  -101  dBm 
94, 571556  ms,  79919  mm,  -99  dBm 
95, 572008  ms,  79881  mm,  -102  dBm 
96, 0  ms,  0  mm,  0  dBm 
97, 572571  ms,  79740  mm,  -98  dBm 
98, 572571  ms,  79740  mm,  -98  dBm 
99, 573381  ms,  79651  mm,  -101  dBm 
100, 573826  ms,  79567  mm,  -101  dBm 
101, 573826  ms,  79567  mm,  -101  dBm 
102, 573826  ms,  79567  mm,  -101  dBm 
103, 575183  ms,  79299  mm,  -100  dBm 
104, 575634  ms,  79009  mm,  -99  dBm 
105, 576085  ms,  78779  mm,  -98  dBm 
106, 576569  ms,  78558  mm,  -98  dBm 
107, 0  ms,  0  mm,  0  dBm 
108, 0  ms,  0  mm,  0  dBm 
109, 577131  ms,  78136  mm,  -98  dBm 
110, 577658  ms,  77700  mm,  -98  dBm 
111, 578063  ms,  77006  mm,  -99  dBm 
112, 0  ms,  0  mm,  0  dBm 
113, 578575  ms,  75810  mm,  -102  dBm 
114, 579007  ms,  74567  mm,  -101  dBm 
115, 579459  ms,  73174  mm,  -100  dBm 
116, 0  ms,  0  mm,  0  dBm 
117, 580035  ms,  71148  mm,  -98  dBm 
118, 580549  ms,  69262  mm,  -97  dBm 
119, 581000  ms,  67339  mm,  -98  dBm 
120, 581000  ms,  67339  mm,  -98  dBm 
121, 581000  ms,  67339  mm,  -98  dBm 
122, 581000  ms,  67339  mm,  -98  dBm 
123, 582713  ms,  59727  mm,  -100  dBm 
124, 583163  ms,  57714  mm,  -101  dBm 
125, 583163  ms,  57714  mm,  -101  dBm 
126, 583163  ms,  57714  mm,  -101  dBm 
127, 0  ms,  0  mm,  0  dBm 
128, 0  ms,  0  mm,  0  dBm 
129, 0  ms,  0  mm,  0  dBm 
130, 0  ms,  0  mm,  0  dBm 
131, 584572  ms,  51542  mm,  -100  dBm 
132, 584960  ms,  49928  mm,  -97  dBm 
133, 585445  ms,  48010  mm,  -97  dBm 
134, 585913  ms,  46223  mm,  -99  dBm 
135, 586365  ms,  44384  mm,  -101  dBm 
136, 586365  ms,  44384  mm,  -101  dBm 
137, 587239  ms,  41172  mm,  -96  dBm 
138, 587691  ms,  39417  mm,  -95  dBm 
139, 588143  ms,  37621  mm,  -95  dBm 
140, 588592  ms,  35876  mm,  -97  dBm 
141, 589041  ms,  34239  mm,  -96  dBm 
142, 589492  ms,  32616  mm,  -93  dBm 
143, 589944  ms,  30736  mm,  -93  dBm 
144, 590381  ms,  29141  mm,  -94  dBm 
145, 590834  ms,  27373  mm,  -96  dBm 
146, 591425  ms,  25412  mm,  -95  dBm 
147, 591874  ms,  24094  mm,  -93  dBm 
148, 0  ms,  0  mm,  0  dBm 
149, 592358  ms,  22710  mm,  -93  dBm 
150, 0  ms,  0  mm,  0  dBm 
151, 0  ms,  0  mm,  0  dBm 
152, 593089  ms,  20516  mm,  -94  dBm 
153, 593721  ms,  18818  mm,  -92  dBm 
154, 594171  ms,  17552  mm,  -94  dBm 
155, 594623  ms,  16361  mm,  -91  dBm 
156, 0  ms,  0  mm,  0  dBm 
157, 0  ms,  0  mm,  0  dBm 
158, 0  ms,  0  mm,  0  dBm 
159, 0  ms,  0  mm,  0  dBm 
160, 595199  ms,  14818  mm,  -88  dBm 
161, 595835  ms,  13228  mm,  -88  dBm 
162, 596288  ms,  12253  mm,  -88  dBm 
163, 596739  ms,  11399  mm,  -86  dBm 
164, 597083  ms,  10775  mm,  -88  dBm 
165, 597316  ms,  10466  mm,  -85  dBm 
166, 597534  ms,  10096  mm,  -86  dBm 
167, 0  ms,  0  mm,  0  dBm 
168, 598123  ms,  9205  mm,  -86  dBm 
169, 598325  ms,  8947  mm,  -85  dBm 
170, 598526  ms,  8651  mm,  -86  dBm 
171, 598756  ms,  8318  mm,  -84  dBm 
172, 599050  ms,  7849  mm,  -84  dBm 
173, 0  ms,  0  mm,  0  dBm 
174, 599281  ms,  7507  mm,  -84  dBm 
175, 0  ms,  0  mm,  0  dBm 
176, 599576  ms,  7066  mm,  -84  dBm 
177, 599856  ms,  6682  mm,  -82  dBm 
178, 600059  ms,  6420  mm,  -83  dBm 
179, 0  ms,  0  mm,  0  dBm 
180, 600291  ms,  6157  mm,  -82  dBm 
181, 0  ms,  0  mm,  0  dBm 
182, 600602  ms,  5834  mm,  -82  dBm 
183, 600803  ms,  5628  mm,  -83  dBm 
184, 601005  ms,  5436  mm,  -83  dBm 
185, 601207  ms,  5248  mm,  -81  dBm 
186, 601519  ms,  5019  mm,  -80  dBm 
187, 601721  ms,  4832  mm,  -80  dBm 
188, 0  ms,  0  mm,  0  dBm 
189, 601954  ms,  4663  mm,  -80  dBm 
190, 602280  ms,  4410  mm,  -80  dBm 
191, 602482  ms,  4275  mm,  -80  dBm 
192, 602684  ms,  4148  mm,  -82  dBm 
193, 602886  ms,  4031  mm,  -82  dBm 
194, 603088  ms,  3947  mm,  -83  dBm 
